category,mode,k,max_new_tokens,speed_ratio_case,draft_time_scale,verify_time_scale,baseline_time_sec,baseline_tps,baseline_energy_proxy_units,baseline_energy_per_token_proxy,spec_time_sec,spec_tps,acceptance_rate,avg_round_acceptance,rollback_count,baseline_fallback_steps,wasted_draft_tokens,draft_time_sec,verify_time_sec,commit_time_sec,rollback_penalty_sec,pipeline_utilization,accepted_tokens_per_round,draft_time_per_accepted_token,verify_time_per_accepted_token,wasted_draft_per_accepted_token,stall_rounds,backpressure_events,verify_bottleneck_ratio,energy_proxy_units,energy_per_token_proxy,energy_per_accepted_token_proxy,peak_speculative_tokens,peak_estimated_kv_overhead_units,speedup,output_match
algorithmic,adaptive_only,2,32,balanced,1.0,1.0,0.6847292499733157,46.733800259368294,0.0,0.0,0.6407731670187786,49.939669210683725,0.8823529411764706,0.7777777777777778,2.0,0.0,4.0,0.4469653330161236,0.19341554213315248,0.00014320795889943838,4.374998388811946e-05,0.9999409363390963,3.3333333333333335,0.014898844433870788,0.00644718473777175,0.13333333333333333,2.0,0.0,0.3019645119268487,0.6985109459550586,0.02182846706109558,0.023283698198501953,7.0,129024.0,1.0685985075795925,1.0
algorithmic,adaptive_only,4,32,balanced,1.0,1.0,0.6847292499733157,46.733800259368294,0.0,0.0,0.6659155829693191,48.05413902061269,0.8108108108108109,0.7777777777777778,2.0,0.0,7.0,0.4809556649415754,0.18454754201229662,0.00014445913257077336,4.591787001118064e-05,0.9999403489134322,3.3333333333333335,0.016031855498052514,0.006151584733743221,0.23333333333333334,2.0,0.0,0.27724508236814094,0.7209757628676016,0.02253049258961255,0.02403252542892005,7.0,129024.0,1.028252330303049,1.0
algorithmic,adaptive_only,6,32,balanced,1.0,1.0,0.6847292499733157,46.733800259368294,0.0,0.0,0.6626634999993257,48.289969192557855,0.7317073170731707,0.7142857142857143,2.0,0.0,11.0,0.5169853749102913,0.14537166600348428,0.00010437500895932317,3.808201290667057e-05,0.9999487422833916,4.285714285714286,0.017232845830343044,0.004845722200116143,0.36666666666666664,2.0,0.0,0.2194417101273706,0.7060521809326019,0.02206413065414381,0.023535072697753397,8.0,147456.0,1.0332985745767083,1.0
algorithmic,adaptive_only,8,32,balanced,1.0,1.0,0.6847292499733157,46.733800259368294,0.0,0.0,0.7156191659742035,44.716521749996744,0.6666666666666666,0.7142857142857143,2.0,0.0,15.0,0.554840917000547,0.1604719600873068,0.00010037398897111416,3.883388126268983e-05,0.9999514864265407,4.285714285714286,0.018494697233351568,0.00534906533624356,0.5,3.0,1.0,0.22430666449883027,0.7635373319790233,0.023860541624344478,0.025451244399300778,8.0,147456.0,0.9568346999778353,1.0
algorithmic,category_only,2,32,balanced,1.0,1.0,0.6847292499733157,46.733800259368294,0.0,0.0,0.7108017499558628,45.019585280969046,0.7894736842105263,0.8,2.0,0.0,8.0,0.4897676670225337,0.22057158109964803,0.00016591587336733937,4.7334120608866215e-05,0.9999439992533107,3.0,0.016325588900751125,0.007352386036654934,0.26666666666666666,2.0,0.0,0.3104433187497984,0.7766291563340929,0.024269661135440403,0.025887638544469762,4.0,73728.0,0.9633195894858644,1.0
algorithmic,category_only,4,32,balanced,1.0,1.0,0.6847292499733157,46.733800259368294,0.0,0.0,0.7028095000423491,45.53154161699832,0.7894736842105263,0.8,2.0,0.0,8.0,0.4866402511834167,0.21572299889521673,0.00016516889445483685,4.795897984877229e-05,0.9999428880727171,3.0,0.01622134170611389,0.007190766629840558,0.26666666666666666,2.0,0.0,0.30706657989800185,0.767198972182814,0.023974967880712936,0.025573299072760465,4.0,73728.0,0.9742743231730022,1.0
algorithmic,category_only,6,32,balanced,1.0,1.0,0.6847292499733157,46.733800259368294,0.0,0.0,0.7004895000136457,45.682340705144945,0.7894736842105263,0.8,2.0,0.0,8.0,0.4850471259560436,0.21501466707559302,0.0001557490904815495,4.146102583035827e-05,0.9999519215941512,3.0,0.01616823753186812,0.007167155569186434,0.26666666666666666,2.0,0.0,0.3070683810976195,0.7646740999189207,0.02389606562246627,0.02548913666396402,4.0,73728.0,0.9775010902518554,1.0
algorithmic,category_only,8,32,balanced,1.0,1.0,0.6847292499733157,46.733800259368294,0.0,0.0,0.7010487499646842,45.645898379552094,0.7894736842105263,0.8,2.0,0.0,8.0,0.4848357499577105,0.21578575199237093,0.00015637389151379466,4.037295002490282e-05,0.9999532099091966,3.0,0.016161191665257018,0.007192858399745697,0.26666666666666666,2.0,0.0,0.3079231799851333,0.7654641873494257,0.023920755854669552,0.025515472911647522,4.0,73728.0,0.9767213050559029,1.0
algorithmic,fixed,2,32,balanced,1.0,1.0,0.6847292499733157,46.733800259368294,0.0,0.0,0.8299145000055432,38.558188825217854,0.8823529411764706,0.8823529411764706,2.0,0.0,4.0,0.45472650002921,0.3744572089635767,0.0003039569710381329,4.7207227908074856e-05,0.9999611714733857,1.7647058823529411,0.015157550000973666,0.012481906965452557,0.13333333333333333,2.0,1.0,0.45143191915756264,0.9416943824209738,0.02942794945065543,0.03138981274736579,2.0,36864.0,0.8250599910819033,1.0
algorithmic,fixed,4,32,balanced,1.0,1.0,0.6847292499733157,46.733800259368294,0.0,0.0,0.6979557499871589,45.84817877148908,0.7894736842105263,0.8,2.0,0.0,8.0,0.4832642080145888,0.2142615020275116,0.00016141898231580853,4.250090569257736e-05,0.9999511495983284,3.0,0.016108806933819626,0.0071420500675837195,0.26666666666666666,2.0,0.0,0.307102558029293,0.761915479239542,0.023809858726235686,0.025397182641318065,4.0,73728.0,0.9810496582138817,1.0
