mode,k,max_new_tokens,speed_ratio_case,draft_time_scale,verify_time_scale,baseline_time_sec,baseline_tps,baseline_energy_proxy_units,baseline_energy_per_token_proxy,spec_time_sec,spec_tps,acceptance_rate,avg_round_acceptance,rollback_count,baseline_fallback_steps,wasted_draft_tokens,draft_time_sec,verify_time_sec,commit_time_sec,rollback_penalty_sec,pipeline_utilization,accepted_tokens_per_round,draft_time_per_accepted_token,verify_time_per_accepted_token,wasted_draft_per_accepted_token,stall_rounds,backpressure_events,verify_bottleneck_ratio,energy_proxy_units,energy_per_token_proxy,energy_per_accepted_token_proxy,peak_speculative_tokens,peak_estimated_kv_overhead_units,speedup,output_match
adaptive_only,2,32,balanced,1.0,1.0,0.9768400553342266,38.766911027851776,0.0,0.0,0.780594361674351,41.773144062528154,0.6664146686826505,0.6491898148148149,7.0,0.0,13.333333333333334,0.4963208060944453,0.2836882647825405,0.0002036806739245852,8.741799198711912e-05,0.9998994053268326,2.0805555555555557,0.020429902554398766,0.011901104623261332,0.5800175669740887,7.0,0.3333333333333333,0.35877344159513597,0.8652931823725036,0.02704041194914074,0.03590885890685884,4.666666666666667,86016.0,1.2534897786021977,1.0
adaptive_only,4,32,balanced,1.0,1.0,0.9768400553342266,38.766911027851776,0.0,0.0,0.8228546943088683,39.68738326887336,0.6036036036036035,0.6240740740740741,7.0,0.0,17.333333333333332,0.5408418326793859,0.2814423890473942,0.0001936530073483785,8.63752793520689e-05,0.9999047541946836,2.111111111111111,0.02226224412671908,0.011829466514627735,0.7451032059727711,7.0,0.3333333333333333,0.33653837089915134,0.9068894124512251,0.028340294139100785,0.037647820407449094,5.333333333333333,98304.0,1.1717638364318945,1.0
adaptive_only,6,32,balanced,1.0,1.0,0.9768400553342266,38.766911027851776,0.0,0.0,0.8841027916835932,37.65647099737216,0.5334597880094721,0.5657671957671958,7.0,0.0,23.666666666666668,0.6172424726149378,0.26632355464001495,0.00016913898677254716,9.295831356818478e-05,0.999906872705265,2.4650793650793648,0.025570645131530987,0.011308279267043841,1.0155028546332894,7.0,0.3333333333333333,0.2930286724464744,0.9636330033865912,0.030113531355830975,0.04027866578858791,6.666666666666667,122880.0,1.124511553324654,1.0
adaptive_only,8,32,balanced,1.0,1.0,0.9768400553342266,38.766911027851776,0.0,0.0,0.906667054980062,36.462399260258444,0.47971781305114636,0.5218803418803418,7.0,0.0,29.0,0.6802878886422453,0.2259065973533628,0.00015266730527703962,7.840329393123587e-05,0.9999185792294117,2.751648351648351,0.02814203564587195,0.009424760751298404,1.2312252964426877,7.333333333333333,0.6666666666666666,0.24619653277430853,0.974113775747052,0.030441055492095376,0.040400461392479915,8.0,147456.0,1.0393856914040056,1.0
category_only,2,32,balanced,1.0,1.0,0.9768400553342266,38.766911027851776,0.0,0.0,0.8746358746429905,37.36050294733542,0.5958461708213446,0.6047619047619048,7.0,0.0,18.333333333333332,0.5571002913250899,0.3168900690701169,0.00019666700003047785,0.00011561106657609344,0.9998799216993132,1.9142857142857144,0.02288697263027337,0.013309769586973476,0.7812472551602987,7.333333333333333,0.6666666666666666,0.3605446034183342,0.9692632200894877,0.03028947562779649,0.040198421230915514,3.3333333333333335,61440.0,1.089486446632978,1.0
category_only,4,32,balanced,1.0,1.0,0.9768400553342266,38.766911027851776,0.0,0.0,0.8680626246884154,37.675713728472665,0.5958461708213446,0.6047619047619048,7.0,0.0,18.333333333333332,0.554660374764353,0.31277205562219024,0.0001958346498819689,0.00011095804317543904,0.999884496088745,1.9142857142857144,0.022791161580282424,0.013141893655446503,0.7812472551602987,7.333333333333333,1.0,0.35840629733963114,0.9614644347806461,0.030045763586895192,0.03988411983557786,3.3333333333333335,61440.0,1.0971040020424832,1.0
category_only,6,32,balanced,1.0,1.0,0.9768400553342266,38.766911027851776,0.0,0.0,0.8676752779865637,37.71472732353848,0.5958461708213446,0.6047619047619048,7.0,0.0,18.333333333333332,0.5543704579079834,0.3126762224322495,0.00019679138980184993,0.00010754299970964591,0.9998887271926041,1.9142857142857144,0.02278407373771386,0.013139701372826024,0.7812472551602987,7.333333333333333,0.6666666666666666,0.3584338438970054,0.9610465609255092,0.030032705028922163,0.03987407013050349,3.3333333333333335,61440.0,1.0974413642114007,1.0
category_only,8,32,balanced,1.0,1.0,0.9768400553342266,38.766911027851776,0.0,0.0,0.8772778053341123,37.37435520038128,0.5958461708213446,0.6047619047619048,7.0,0.0,18.333333333333332,0.5593838049680926,0.317236001661513,0.00020272232359275222,0.00011480390094220638,0.9998827855845359,1.9142857142857144,0.023004706786157292,0.013341967721412848,0.7812472551602987,7.333333333333333,0.6666666666666666,0.3596042778115536,0.971997980348533,0.030374936885891657,0.04035811331145891,3.3333333333333335,61440.0,1.0858087342616625,1.0
fixed,2,32,balanced,1.0,1.0,0.9768400553342266,38.766911027851776,0.0,0.0,1.0792588473220046,31.764779549785278,0.6787330316742081,0.6774509803921568,7.0,0.0,12.333333333333334,0.6715626376875056,0.40688629233045503,0.0002695420795741181,0.00011822305774937074,0.9999004725562685,1.338235294117647,0.027981329525823568,0.016697170453351732,0.5339042599912165,7.333333333333333,1.0,0.3993220918139886,1.200752679912451,0.037523521247264095,0.049697585937296195,2.0,36864.0,0.8678183195683568,1.0
fixed,4,32,balanced,1.0,1.0,0.9768400553342266,38.766911027851776,0.0,0.0,0.867092610996527,37.7626320805097,0.5574718467327348,0.5624542124542125,7.0,0.0,21.666666666666668,0.5955076386841635,0.27103034699878964,0.00017012572304035226,0.00010054197628051043,0.9998944711705202,2.1117216117216118,0.024661606533822922,0.011248505176260243,0.9327624066754502,7.333333333333333,0.6666666666666666,0.312346108463785,0.9480257362457148,0.02962580425767859,0.039292202884321684,4.0,73728.0,1.0981008291257004,1.0
fixed,6,32,balanced,1.0,1.0,0.9768400553342266,38.766911027851776,0.0,0.0,0.8494839026631477,38.65496572296447,0.5064035207943107,0.4992063492063492,7.0,0.0,26.333333333333332,0.6505186390907814,0.19855784805258736,0.00013301292589555183,6.98610480564336e-05,0.9999221473665986,2.9285714285714284,0.026949740689082503,0.008261711552889352,1.1247694334650857,7.0,0.3333333333333333,0.23330549420403146,0.9087738938823652,0.028399184183823912,0.037695449842126784,6.0,110592.0,1.1194042779998685,1.0
